  PID   TT  STAT      TIME COMMAND
  313   ??  S      0:00.05 /usr/sbin/distnoted agent
  315   ??  S      0:00.06 /usr/sbin/distnoted agent
  320   ??  Ss     0:00.17 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000442 com.apple.AppleUserHIDDrivers
  321   ??  Ss     0:00.02 /usr/libexec/thermald
  322   ??  Ss     0:00.11 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  323   ??  S      0:00.03 /usr/sbin/distnoted agent
  324   ??  Ss     0:01.22 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  326   ??  Ss     0:00.17 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  327   ??  Ss     0:00.06 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  330   ??  S      0:00.05 /usr/sbin/distnoted agent
  340   ??  Ss     0:00.02 /usr/sbin/BlueTool -R
  341   ??  Ss     0:00.05 /usr/libexec/hidd
  343   ??  S      0:00.05 /usr/sbin/distnoted agent
  344   ??  Ss     0:00.07 /usr/libexec/secinitd
  345   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  347   ??  Ss     0:00.45 /usr/libexec/locationd
  349   ??  Ss     0:00.04 /usr/libexec/colorsync.displayservices
  350   ??  Ss     0:00.04 /usr/libexec/colorsyncd
  351   ??  Ss     0:00.14 /usr/libexec/wifianalyticsd
  352   ??  Ss     0:00.13 /System/Library/CoreServices/appleeventsd --server
  353   ??  Ss     0:00.10 /System/Library/CoreServices/sharedfilelistd
  354   ??  S      0:00.74 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  356   ??  Ss     0:00.04 /usr/libexec/bootinstalld
  358   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  359   ??  Ss     0:00.12 /usr/libexec/symptomsd-diag
  360   ??  S      0:00.33 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  361   ??  Ss     0:00.19 /usr/libexec/sysmond
  364   ??  Ss     0:00.06 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  365   ??  Ss     0:00.04 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
  366   ??  S      0:00.06 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  370   ??  Ss     0:00.06 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  372   ??  S      0:00.83 /usr/sbin/distnoted agent
  373   ??  S      0:03.12 /usr/sbin/cfprefsd agent
  374   ??  Ss     0:00.09 /usr/libexec/securityd_service
  375   ??  S      0:00.94 /usr/libexec/UserEventAgent (Aqua)
  376   ??  Ss     0:00.21 /usr/libexec/gamecontrollerd
  378   ??  S      0:00.24 /usr/sbin/universalaccessd launchd -s
  380   ??  S      0:00.97 /usr/libexec/knowledge-agent
  381   ??  S      0:00.92 /usr/libexec/lsd
  382   ??  S      0:01.75 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  383   ??  S      0:00.50 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  384   ??  S      0:05.18 /usr/libexec/trustd --agent
  385   ??  S      0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  386   ??  Ss     0:00.14 /usr/libexec/logd_helper
  388   ??  S      0:02.31 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  389   ??  S      0:00.60 /usr/libexec/secd
