  PID   TT  STAT      TIME COMMAND
  414   ??  S      0:01.01 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  415   ??  S      0:00.05 /usr/sbin/distnoted agent
  416   ??  S      0:00.24 /usr/libexec/rapportd
  417   ??  S      0:00.92 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  418   ??  S      0:00.31 /System/Library/Frameworks/Contacts.framework/Support/contactsd
  419   ??  S      0:00.17 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  420   ??  S      0:00.45 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  421   ??  Ss     0:00.03 automountd
  422   ??  S      0:00.17 /System/Library/CoreServices/sharedfilelistd
  425   ??  S      0:00.65 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  426   ??  S      0:02.06 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  427   ??  S      0:00.10 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  428   ??  S      0:00.32 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
  429   ??  S      0:00.34 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  430   ??  S      0:00.21 /System/Library/CoreServices/iconservicesagent
  431   ??  S      0:00.22 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  432   ??  S      0:00.37 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  433   ??  S      0:00.64 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  434   ??  Ss     0:00.37 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  435   ??  S      0:01.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  436   ??  S      0:00.15 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
