  PID   TT  STAT      TIME COMMAND
  490   ??  Ss     0:00.22 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  491   ??  S      0:00.18 /usr/libexec/fmfd
  492   ??  S      0:00.12 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  493   ??  S      0:00.91 /usr/libexec/nsurlsessiond
  494   ??  Ss     0:00.06 /usr/sbin/WirelessRadioManagerd
  495   ??  S      0:00.02 /System/Library/CoreServices/APFSUserAgent
  496   ??  S      0:00.02 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  497   ??  S      0:00.49 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  498   ??  S      0:01.32 /System/Library/CoreServices/lockoutagent
  499   ??  Ss     0:00.57 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  500   ??  Ss     0:00.07 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  501   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  502   ??  S      0:00.02 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  503   ??  S      0:00.14 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  504   ??  S      0:00.12 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  506   ??  Ss     0:00.15 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  507   ??  S      0:00.10 /usr/libexec/neagent
  508   ??  Ss     0:00.19 /usr/libexec/rtcreportingd
  509   ??  S      0:00.03 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
  510   ??  S      0:00.21 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  511   ??  S      0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
  513   ??  S      0:00.02 SafeEjectGPUAgent
  514   ??  S      0:00.12 /usr/libexec/diagnosticextensionsd
  515   ??  S      0:00.03 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
  516   ??  S      0:00.22 /usr/libexec/networkserviceproxy
  517   ??  S      0:00.37 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  518   ??  S      0:00.82 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  520   ??  S      0:00.13 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
  521   ??  S      0:00.17 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  522   ??  Ss     0:00.35 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
  523   ??  S      0:01.01 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  524   ??  Ss     0:00.07 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  525   ??  S      0:00.11 /usr/libexec/siriknowledged
  526   ??  SN     0:01.03 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
  527   ??  S      0:01.04 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
  528   ??  S      0:00.04 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  529   ??  S      0:00.15 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
  530   ??  S      0:01.48 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
  531   ??  Ss     0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  532   ??  Ss     0:00.38 /System/Library/CoreServices/SubmitDiagInfo server-init
  533   ??  S      0:00.06 /usr/libexec/USBAgent
  534   ??  S      0:01.03 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  535   ??  S      0:00.10 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
  536   ??  Ss     0:00.02 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
