Video ID,Video Text Create Timestamp,Video Description Text Segments 1,Video Title Text Segments 1,Video Text Update Timestamp
1DVa2zfM7B0,2024-09-28T15:30:02.530606+00:00,"I was over at this library nearly every day for a year in a Marvel hoodie bought outside the country. I am their resident big kid (or my dad's 30-something teenager). I think the children's librarian, Mary Gene Davis, hooked this up for one of the two CPL locations that received interviews with Ms. James. I have the very touching autograph in the darkweb ipad case :)",Shaquita James - Peanut gallery style at the South Shore Chicago Public Library,2024-09-28T15:33:08.48188+00:00
GE_Q8wOP9dw,2024-09-20T17:36:25.071931+00:00,,We're going to pick up some cats - Trump threats to execute my kittens - George and Puff 'n Stuff,2024-09-20T17:36:25.071931+00:00
_8Bx-Gc9-a0,2024-11-30T16:06:24.818821+00:00,,George and Puff 'n Stuff - Anti Cruelty Society - Helped me get them into a no kill shelter,2024-11-30T16:06:24.818821+00:00
Ryy3EioyodY,2024-11-30T16:25:28.635461+00:00,,George and Puff 'n Stuff - Anti Cruelty Society - Helped me get them into a no kill shelter - V3,2024-11-30T16:25:28.635461+00:00
_RILFsn7rQg,2024-11-30T16:24:53.659221+00:00,,George and Puff 'n Stuff - Anti Cruelty Society - Helped me get them into a no kill shelter - V2,2024-11-30T16:24:53.659221+00:00
366Ajs-hhJQ,2024-11-30T16:23:59.863245+00:00,,Kim Foxx (IL state attorney at DV courthouse) - Slander on her and democrats for a restraining order,2024-11-30T16:23:59.863245+00:00
OA8D0E3NJ80,2024-09-01T19:37:32.695942+00:00,,Trump Tower - CNN/GSO indictments - The Messiah is Missing - Why do search engines lie?!?,2024-09-01T19:39:00.249131+00:00
psyi8ni8zE0,2024-09-14T16:19:14.094984+00:00,"South Shore, Chicago, USA, North America, Earth, that is.",We're going to pick up some cats - Trump threats to execute my kittens brought art to South Shore II,2024-09-14T16:19:14.094984+00:00
jsq_DTFvGRc,2024-09-14T16:18:34.878099+00:00,"South Shore, Chicago, USA, North America, Earth, that is.",We're going to pick up some cats - Trump threats to execute my kittens brought art to South Shore,2024-09-14T16:18:34.878099+00:00
9CiA4-iM1mc,2024-11-26T21:56:33.584012+00:00,,MDS - IDK (anymore) - Dirty laundry - They drugged me - 2024,2024-11-26T21:56:59.720167+00:00
non6-sJCamc,2024-11-26T21:55:24.145939+00:00,,"Legalize pot - Democrats for USA - Thanks, Chuck Schumer!",2024-11-26T21:55:24.145939+00:00
Ll_vGWzv87Y,2024-09-14T16:20:27.323386+00:00,See subject (line above).,"Non-curved digital number four - Yes, it is possible - CTA Blue Line -  Addendum (Nazi/Adidas-44/SS)",2024-09-14T16:21:18.270989+00:00
Anm6iObJt8Y,2024-11-26T21:54:16.515197+00:00,,MDS - IDK (anymore) - They drugged me - 2024,2024-11-26T21:54:16.515197+00:00
rmG3YC0cWoA,2024-11-26T21:52:51.774433+00:00,,Big Mac ad - Chicago CTA,2024-11-26T21:52:51.774433+00:00
x0tcZz3G634,2024-09-20T17:42:03.423427+00:00,"Check out the artwork. Some people are with me. Pigeons know good people. It's a $200 fine to feed them in Chicago. People in South Shore, Chicago, Illinois, USA, North America, Earth (where Michelle Obama started out) do it anyway whether or not they can afford the fine or not :)",Jesus Christ had a pet turkey - It's about the pigeons and Trump fining people feeding Jesus' family,2024-09-20T17:43:28.669787+00:00
egCn1DaL2hk,2024-09-14T16:22:13.388235+00:00,"Uptown (North Side), Chicago, USA, North America, Earth, that is.",We're going to pick up some cats - Trump threats to execute my kittens brought art to Uptown,2024-09-14T16:22:13.388235+00:00
_Zoo-CirsSM,2024-09-14T16:22:54.884499+00:00,,We're going to pick up some cats - Trump threats to execute my kittens - George and Puff 'n Stuff,2024-09-14T16:23:31.089698+00:00
C_DgHJomNxY,2024-09-14T16:24:18.401195+00:00,,Android 13 hacked - Full apps list - Check out Fediverse/federated!?!,2024-09-14T16:24:18.401195+00:00
MYy2BQP4xxg,2024-10-18T19:41:21.500183+00:00,,Illinois law bar does not accept civil suits against Trump or Elon Musk - Election: 3 weeks to go,2024-10-18T19:41:21.500183+00:00
E0OjvgQcIf8,2024-11-26T21:50:23.807616+00:00,,Legal Notes - MDS (2024) - Scared my stuff would be suppressed,2024-11-26T21:50:23.807616+00:00
2-FqpKXh084,2024-11-26T21:48:48.847056+00:00,,"WiggleWorms - Elon Musk / Matt Ando (2004) - Wiggle Worm, WglWrm? VID_20241023_180435",2024-11-26T21:48:48.847056+00:00
