Video ID,Approx Duration (ms),Video Audio Language,Video Category,Video Description (Original),Video Description (Original) Language,Channel ID,Video Title (Original),Video Title (Original) Language,Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
bcqEaX0rgMk,390000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living next to Anthony/X in Chicago - LED light strip torture - 1708253444,en-US,Unlisted,Processed,2024-02-18T19:57:18+00:00,2024-02-24T17:08:03+00:00
JlTWWHCAI6A,144000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living next to Anthony/X in Chicago - LED light strip torture - 1708255132,en-US,Unlisted,Processed,2024-02-18T19:59:44+00:00,2024-02-24T17:10:08+00:00
lk83TRRu5F8,62000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living next to Anthony/X in Chicago - LED light strip torture - 1708259418,en-US,Unlisted,Processed,2024-02-18T20:00:33+00:00,2024-02-24T17:10:37+00:00
mpFQiSHJqAI,180000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living next to Anthony/X in Chicago - LED light strip torture - 1708269140,en-US,Unlisted,Processed,2024-02-18T20:00:52+00:00,2024-02-24T17:11:07+00:00
icxDOsWZfYM,10000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Screen recording - III,en-US,Unlisted,Processed,2024-02-23T17:13:28+00:00,2024-02-24T17:15:27+00:00
iby0Tbxprns,304000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Screen recording - IV,en-US,Unlisted,Processed,2024-02-23T17:13:32+00:00,2024-02-24T17:15:50+00:00
clOccASQQh8,423000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Screen recording - V,en-US,Unlisted,Processed,2024-02-23T17:14:06+00:00,2024-02-24T17:16:17+00:00
00DqmMtF2aI,107000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Screen recording - 1708436448,en-US,Unlisted,Processed,2024-02-23T17:16:20+00:00,2024-02-24T17:16:45+00:00
ahqT56T4JMg,30000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Screen recording - 1708436082,en-US,Unlisted,Processed,2024-02-23T17:16:25+00:00,2024-02-24T17:21:16+00:00
 -n7H0EYjTvA,73000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Darkweb ipad - Screen recording - 1708436021,en-US,Unlisted,Processed,2024-02-23T17:16:35+00:00,2024-02-24T17:21:44+00:00
NlEG_DSuhZ0,42000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living near Anthony/X in Chicago - Big night out - Nov 2023 - II,en-US,Unlisted,Processed,2024-02-24T17:17:11+00:00,2024-02-24T17:24:30+00:00
Jg5yqW_bziU,28000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living near Anthony/X in Chicago - Big night out - Nov 2023 - IV,en-US,Unlisted,Processed,2024-02-24T17:17:13+00:00,2024-02-24T17:25:10+00:00
f2xhDjzLbRg,35000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living near Anthony/X in Chicago - Big night out - Nov 2023 - I,en-US,Unlisted,Processed,2024-02-24T17:17:16+00:00,2024-02-24T17:23:48+00:00
N8KPFkMe5ws,35000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,Getting away from Trump? Living near Anthony/X in Chicago - Big night out - Nov 2023 - V,en-US,Unlisted,Processed,2024-02-24T17:17:19+00:00,2024-02-24T17:25:33+00:00
pUlwtmeFFLI,21000,zxx,People,"Friendly, handsome, sweet, smart, emotionally intelligent ""hacker cat"" needs a good home, or at least someone to leave out cat food for him. Kush2 is in the Simpsons Snowball-N naming scheme. He's located in South Shore Chicago, IL, USA, North America, Earth. I'm moving elsewhere in town soon and will be unable to feed him. My favorite (special ops) ""black cat"". I believe he has my father's spirit: (ME) My father is an a-shole (Army A-SSHOLE father Don)! (CAT APPEARS AT MY WINDOW) So what's it about this time?",en-US,UCqSYEc4R7Vp4h233TQECEIw,It's a memorable Sunday - Someone give Kush2 a good home - Remember to feed your father - Read below,en-US,Public,Processed,2024-02-25T20:05:02+00:00,2024-02-25T20:13:14+00:00
awHCUhxY2g8,670000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,AndroidGo phone - Screen recording - RPReplay_Final1698387657-todo,en-US,Unlisted,Processed,2024-02-25T20:05:07+00:00,2024-02-26T20:06:30+00:00
bCriV-xKjFc,28000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,AndroidGo phone - Screen recording - screen-20230710-061532,en-US,Unlisted,Processed,2024-02-26T18:29:39+00:00,2024-02-26T20:05:11+00:00
zPBLST05L8A,821000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,AndroidGo phone - Screen recording - screen-20230710-063655,en-US,Unlisted,Processed,2024-02-26T18:29:40+00:00,2024-02-26T20:05:34+00:00
ZPN3CjmISKs,121000,zxx,People,,en-US,UCqSYEc4R7Vp4h233TQECEIw,AndroidGo phone - Screen recording - screen-20231129-133326,en-US,Unlisted,Processed,2024-02-26T18:29:46+00:00,2024-02-26T20:05:54+00:00
LyebPAzqSjA,3149000,zxx,People,Title: Trump Indicted  Media Complicity in the Rise of Fascism,en-US,UCqSYEc4R7Vp4h233TQECEIw,Refuse Fascism 3 - Out of first Spotify podcast publication dates - Sounds of AI-generated Fox News,en-US,Unlisted,Processed,2024-02-26T21:50:15+00:00,2024-02-26T21:55:37+00:00
nGNqeCBxeOw,2880000,zxx,People,Title: The Bloody Promises of the Orange Hued Malignancy,en-US,UCqSYEc4R7Vp4h233TQECEIw,Refuse Fascism 2 - Out of first Spotify podcast publication dates - Sounds of AI-generated Fox News,en-US,Unlisted,Processed,2024-02-26T21:50:20+00:00,2024-02-26T21:54:49+00:00
