Processes: 473 total, 9 running, 14 stuck, 450 sleeping, 4972 threads 
2026/05/25 23:28:39
Load Avg: 15.43, 13.31, 12.90 
CPU usage: 21.11% user, 52.49% sys, 26.39% idle 
SharedLibs: 179M resident, 50M data, 11M linkedit.
MemRegions: 222600 total, 523M resident, 20M private, 205M shared.
PhysMem: 8165M used (3239M wired), 26M unused.
VM: 16T vsize, 3153M framework vsize, 982560330(0) swapins, 987525651(0) swapouts.
Networks: packets: 30873200/36G in, 15576389/14G out.
Disks: 35553684/3967G read, 28735045/3868G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS    %CPU_ME %CPU_OTHRS UID FAULTS    COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
32076  tccd             0.0  00:00.57 3     2   44     1656K 0B    1404K 32076 1     sleeping *0[99]    0.00000 0.00000    0   8119      163    580       546       16275     2847      3916      281     24       0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32072  com.apple.CodeSi 0.0  00:00.07 2     1   21     676K  0B    672K  32072 1     sleeping *0[12]    0.00000 0.00000    0   2518      111    113       82        1568      282       578       0       4        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
32058  com.apple.audio. 0.0  00:00.43 3     1   378    888K  0B    884K  32058 1     sleeping *0[2403]  0.00000 0.00000    202 2808      124    3309      2978      14047     8862      6040      39      0        0.0   0      0      _coreaudiod            N/A    N/A   N/A   N/A   N/A   N/A  
32027  bash             0.0  00:00.08 1     0   21     1096K 0B    676K  32027 32026 sleeping *0[1]     0.00000 0.00000    501 3895      785    123       53        4601      207       907       2       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
32026  login            0.0  00:00.13 2     1   31     1136K 0B    1132K 32026 391   sleeping *0[9]     0.00000 0.00000    0   1799      181    83        33        3978      246       788       299     0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
31881  plugin-container 0.0  00:00.37 22    2   97     21M   0B    21M   381   381   sleeping *0[2]     0.00000 0.00000    501 22265     2510   331       166       6847      714       4893      66      228      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31735  traceroute       0.0  00:00.05 1     0   22     572K  0B    472K  31735 31267 sleeping *0[1]     0.00000 0.00000    501 1826      81     52        19        2330      107       741       14      40       0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31727  plugin-container 0.0  00:02.04 24    1   102    23M   0B    20M   381   381   sleeping *0[2]     0.00000 0.00000    501 46124     2509   400       204       15719     794       19170     5634    546      0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31696  bash             0.0  00:00.04 1     0   21     1088K 0B    1084K 31696 31693 sleeping *0[1]     0.00000 0.00000    501 2317      562    112       48        2790      200       315       1       0        0.0   0      0      maxieds                N/A    N/A   N/A   N/A   N/A   N/A  
31693  login            0.0  00:00.10 2     1   32     1136K 0B    1132K 31693 391   sleeping *0[9]     0.00000 0.00000    0   1604      166    83        33        4016      247       650       43      0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
